date,chung khoan
2024-11-07,41.0
2024-11-08,41.0
2024-11-09,14.0
2024-11-10,14.0
2024-11-11,40.0
2024-11-12,45.0
2024-11-13,40.0
2024-11-14,47.0
2024-11-15,44.0
2024-11-16,19.0
2024-11-17,11.0
2024-11-18,54.0
2024-11-19,41.0
2024-11-20,40.0
2024-11-21,47.0
2024-11-22,43.0
2024-11-23,12.0
2024-11-24,10.0
2024-11-25,40.0
2024-11-26,39.0
2024-11-27,40.0
2024-11-28,35.0
2024-11-29,42.0
2024-11-30,7.0
2024-12-01,8.0
2024-12-02,37.0
2024-12-03,37.0
2024-12-04,45.0
2024-12-05,44.0
2024-12-06,44.0
2024-12-07,10.0
2024-12-08,10.0
2024-12-09,40.0
2024-12-10,41.0
2024-12-11,40.0
2024-12-12,46.0
2024-12-13,43.0
2024-12-14,12.0
2024-12-15,10.0
2024-12-16,46.0
2024-12-17,46.0
2024-12-18,34.0
2024-12-19,50.0
2024-12-20,39.0
2024-12-21,9.0
2024-12-22,6.0
2024-12-23,45.0
2024-12-24,40.0
2024-12-25,45.0
2024-12-26,39.0
2024-12-27,44.0
2024-12-28,10.0
2024-12-29,10.0
2024-12-30,36.0
2024-12-31,36.0
2025-01-01,10.0
2025-01-02,32.0
2025-01-03,47.0
2025-01-04,9.0
2025-01-05,7.0
2025-01-06,39.0
2025-01-07,40.0
2025-01-08,36.0
2025-01-09,30.0
2025-01-10,38.0
2025-01-11,11.0
2025-01-12,7.0
2025-01-13,38.0
2025-01-14,37.0
2025-01-15,39.0
2025-01-16,41.0
2025-01-17,39.0
2025-01-18,9.0
2025-01-19,7.0
2025-01-20,40.0
2025-01-21,33.0
2025-01-22,41.0
2025-01-23,35.0
2025-01-24,32.0
2025-01-25,8.0
2025-01-26,0.0
2025-01-27,0.0
2025-01-28,0.0
2025-01-29,0.0
2025-01-30,9.0
2025-01-31,0.0
2025-02-01,0.0
2025-02-02,11.0
2025-02-03,45.0
2025-02-04,43.0
2025-02-05,45.0
2025-02-06,37.0
2025-02-07,40.0
2025-02-08,10.0
2025-02-09,7.0
2025-02-10,38.0
2025-02-11,37.0
2025-02-12,33.0
2025-02-13,40.0
2025-02-14,39.0
2025-02-15,7.0
2025-02-16,8.0
2025-02-17,41.0
2025-02-18,37.0
2025-02-19,37.0
2025-02-20,40.0
2025-02-21,37.0
2025-02-22,8.0
2025-02-23,11.0
2025-02-24,50.0
2025-02-25,46.0
2025-02-26,42.0
2025-02-27,51.0
2025-02-28,44.0
2025-03-01,10.0
2025-03-02,7.0
2025-03-03,42.0
2025-03-04,47.0
2025-03-05,41.0
2025-03-06,44.0
2025-03-07,38.0
2025-03-08,6.0
2025-03-09,9.0
2025-03-10,44.0
2025-03-11,41.0
2025-03-12,49.0
2025-03-13,41.0
2025-03-14,44.0
2025-03-15,12.0
2025-03-16,8.0
2025-03-17,41.0
2025-03-18,44.0
2025-03-19,45.0
2025-03-20,33.0
2025-03-21,34.0
2025-03-22,9.0
2025-03-23,10.0
2025-03-24,44.0
2025-03-25,36.0
2025-03-26,40.0
2025-03-27,38.0
2025-03-28,43.0
2025-03-29,8.0
2025-03-30,6.0
2025-03-31,43.0
2025-04-01,42.0
2025-04-02,37.0
2025-04-03,88.0
2025-04-04,75.0
2025-04-05,16.0
2025-04-06,9.0
2025-04-07,45.0
2025-04-08,100.0
2025-04-09,92.0
2025-04-10,94.0
2025-04-11,75.0
2025-04-12,16.0
2025-04-13,10.0
2025-04-14,55.0
2025-04-15,55.0
2025-04-16,52.0
2025-04-17,49.0
2025-04-18,51.0
2025-04-19,12.0
2025-04-20,12.0
2025-04-21,43.0
2025-04-22,49.0
2025-04-23,49.0
2025-04-24,45.0
2025-04-25,52.0
2025-04-26,16.0
2025-04-27,12.0
2025-04-28,42.0
2025-04-29,41.0
2025-04-30,11.0
2025-05-01,22.0
2025-05-02,18.0
2025-05-03,10.0
2025-05-04,9.0
2025-05-05,48.0
2025-05-06,41.0
2025-05-07,46.0
2025-05-08,39.0
2025-05-09,47.0
2025-05-10,10.0
2025-05-11,10.0
2025-05-12,47.0
2025-05-13,45.0
2025-05-14,42.0
2025-05-15,47.0
2025-05-16,41.0
2025-05-17,13.0
2025-05-18,7.0
2025-05-19,44.0
2025-05-20,42.0
2025-05-21,44.0
2025-05-22,49.0
2025-05-23,34.0
2025-05-24,7.0
2025-05-25,9.0
2025-05-26,42.0
2025-05-27,44.0
2025-05-28,46.0
2025-05-29,48.0
2025-05-30,36.0
2025-05-31,8.0
2025-06-01,8.0
2025-06-02,41.0
2025-06-03,34.0
2025-06-04,43.0
2025-06-05,48.0
2025-06-06,40.0
2025-06-07,9.0
2025-06-08,13.0
2025-06-09,40.0
2025-06-10,29.0
2025-06-11,29.0
2025-06-12,40.0
2025-06-13,36.0
2025-06-14,11.0
2025-06-15,9.0
2025-06-16,44.0
2025-06-17,45.0
2025-06-18,36.0
2025-06-19,37.0
2025-06-20,36.0
2025-06-21,6.0
2025-06-22,11.0
2025-06-23,37.0
2025-06-24,41.0
2025-06-25,32.0
2025-06-26,34.0
2025-06-27,27.0
2025-06-28,9.0
2025-06-29,6.0
2025-06-30,29.0
2025-07-01,33.0
2025-07-02,43.0
2025-07-03,47.0
2025-07-04,37.0
