date,co phieu
2024-11-07,64.0
2024-11-08,53.0
2024-11-09,19.0
2024-11-10,16.0
2024-11-11,55.0
2024-11-12,38.0
2024-11-13,42.0
2024-11-14,42.0
2024-11-15,50.0
2024-11-16,21.0
2024-11-17,22.0
2024-11-18,49.0
2024-11-19,53.0
2024-11-20,56.0
2024-11-21,59.0
2024-11-22,43.0
2024-11-23,16.0
2024-11-24,14.0
2024-11-25,47.0
2024-11-26,55.0
2024-11-27,41.0
2024-11-28,53.0
2024-11-29,53.0
2024-11-30,22.0
2024-12-01,0.0
2024-12-02,38.0
2024-12-03,42.0
2024-12-04,45.0
2024-12-05,63.0
2024-12-06,56.0
2024-12-07,21.0
2024-12-08,14.0
2024-12-09,48.0
2024-12-10,49.0
2024-12-11,55.0
2024-12-12,53.0
2024-12-13,52.0
2024-12-14,0.0
2024-12-15,16.0
2024-12-16,65.0
2024-12-17,36.0
2024-12-18,51.0
2024-12-19,53.0
2024-12-20,41.0
2024-12-21,17.0
2024-12-22,25.0
2024-12-23,51.0
2024-12-24,47.0
2024-12-25,51.0
2024-12-26,41.0
2024-12-27,53.0
2024-12-28,16.0
2024-12-29,15.0
2024-12-30,42.0
2024-12-31,48.0
2025-01-01,14.0
2025-01-02,50.0
2025-01-03,47.0
2025-01-04,24.0
2025-01-05,17.0
2025-01-06,61.0
2025-01-07,41.0
2025-01-08,48.0
2025-01-09,47.0
2025-01-10,60.0
2025-01-11,21.0
2025-01-12,12.0
2025-01-13,47.0
2025-01-14,39.0
2025-01-15,56.0
2025-01-16,44.0
2025-01-17,45.0
2025-01-18,16.0
2025-01-19,21.0
2025-01-20,51.0
2025-01-21,43.0
2025-01-22,42.0
2025-01-23,54.0
2025-01-24,38.0
2025-01-25,13.0
2025-01-26,16.0
2025-01-27,0.0
2025-01-28,18.0
2025-01-29,0.0
2025-01-30,18.0
2025-01-31,14.0
2025-02-01,26.0
2025-02-02,0.0
2025-02-03,54.0
2025-02-04,70.0
2025-02-05,65.0
2025-02-06,50.0
2025-02-07,67.0
2025-02-08,27.0
2025-02-09,13.0
2025-02-10,54.0
2025-02-11,56.0
2025-02-12,59.0
2025-02-13,51.0
2025-02-14,65.0
2025-02-15,19.0
2025-02-16,14.0
2025-02-17,52.0
2025-02-18,56.0
2025-02-19,54.0
2025-02-20,55.0
2025-02-21,58.0
2025-02-22,18.0
2025-02-23,22.0
2025-02-24,55.0
2025-02-25,56.0
2025-02-26,64.0
2025-02-27,54.0
2025-02-28,54.0
2025-03-01,20.0
2025-03-02,16.0
2025-03-03,66.0
2025-03-04,73.0
2025-03-05,60.0
2025-03-06,59.0
2025-03-07,51.0
2025-03-08,19.0
2025-03-09,14.0
2025-03-10,56.0
2025-03-11,60.0
2025-03-12,60.0
2025-03-13,46.0
2025-03-14,59.0
2025-03-15,20.0
2025-03-16,18.0
2025-03-17,63.0
2025-03-18,60.0
2025-03-19,57.0
2025-03-20,54.0
2025-03-21,53.0
2025-03-22,25.0
2025-03-23,15.0
2025-03-24,52.0
2025-03-25,57.0
2025-03-26,62.0
2025-03-27,57.0
2025-03-28,44.0
2025-03-29,26.0
2025-03-30,16.0
2025-03-31,46.0
2025-04-01,44.0
2025-04-02,60.0
2025-04-03,91.0
2025-04-04,89.0
2025-04-05,25.0
2025-04-06,15.0
2025-04-07,32.0
2025-04-08,77.0
2025-04-09,85.0
2025-04-10,100.0
2025-04-11,94.0
2025-04-12,19.0
2025-04-13,20.0
2025-04-14,69.0
2025-04-15,63.0
2025-04-16,65.0
2025-04-17,67.0
2025-04-18,77.0
2025-04-19,15.0
2025-04-20,18.0
2025-04-21,64.0
2025-04-22,60.0
2025-04-23,57.0
2025-04-24,71.0
2025-04-25,60.0
2025-04-26,24.0
2025-04-27,16.0
2025-04-28,52.0
2025-04-29,41.0
2025-04-30,16.0
2025-05-01,11.0
2025-05-02,20.0
2025-05-03,10.0
2025-05-04,12.0
2025-05-05,59.0
2025-05-06,59.0
2025-05-07,40.0
2025-05-08,54.0
2025-05-09,41.0
2025-05-10,17.0
2025-05-11,19.0
2025-05-12,70.0
2025-05-13,65.0
2025-05-14,67.0
2025-05-15,63.0
2025-05-16,54.0
2025-05-17,19.0
2025-05-18,18.0
2025-05-19,54.0
2025-05-20,59.0
2025-05-21,58.0
2025-05-22,66.0
2025-05-23,57.0
2025-05-24,0.0
2025-05-25,18.0
2025-05-26,54.0
2025-05-27,62.0
2025-05-28,54.0
2025-05-29,60.0
2025-05-30,64.0
2025-05-31,19.0
2025-06-01,18.0
2025-06-02,62.0
2025-06-03,50.0
2025-06-04,60.0
2025-06-05,49.0
2025-06-06,51.0
2025-06-07,21.0
2025-06-08,13.0
2025-06-09,53.0
2025-06-10,46.0
2025-06-11,51.0
2025-06-12,44.0
2025-06-13,51.0
2025-06-14,22.0
2025-06-15,13.0
2025-06-16,50.0
2025-06-17,51.0
2025-06-18,53.0
2025-06-19,39.0
2025-06-20,36.0
2025-06-21,9.0
2025-06-22,0.0
2025-06-23,46.0
2025-06-24,43.0
2025-06-25,51.0
2025-06-26,43.0
2025-06-27,36.0
2025-06-28,14.0
2025-06-29,12.0
2025-06-30,38.0
2025-07-01,42.0
2025-07-02,53.0
2025-07-03,57.0
2025-07-04,46.0
