date,dau tu
2019-03-14,98.0
2019-03-15,99.0
2019-03-16,86.0
2019-03-17,76.0
2019-03-18,83.0
2019-03-19,87.0
2019-03-20,97.0
2019-03-21,87.0
2019-03-22,68.0
2019-03-23,79.0
2019-03-24,68.0
2019-03-25,81.0
2019-03-26,83.0
2019-03-27,86.0
2019-03-28,98.0
2019-03-29,88.0
2019-03-30,71.0
2019-03-31,74.0
2019-04-01,84.0
2019-04-02,94.0
2019-04-03,100.0
2019-04-04,95.0
2019-04-05,82.0
2019-04-06,80.0
2019-04-07,79.0
2019-04-08,96.0
2019-04-09,81.0
2019-04-10,86.0
2019-04-11,89.0
2019-04-12,77.0
2019-04-13,60.0
2019-04-14,76.0
2019-04-15,77.0
2019-04-16,86.0
2019-04-17,79.0
2019-04-18,87.0
2019-04-19,90.0
2019-04-20,71.0
2019-04-21,78.0
2019-04-22,88.0
2019-04-23,84.0
2019-04-24,83.0
2019-04-25,85.0
2019-04-26,73.0
2019-04-27,76.0
2019-04-28,66.0
2019-04-29,65.0
2019-04-30,63.0
2019-05-01,62.0
2019-05-02,81.0
2019-05-03,91.0
2019-05-04,81.0
2019-05-05,73.0
2019-05-06,91.0
2019-05-07,84.0
2019-05-08,87.0
2019-05-09,86.0
2019-05-10,82.0
2019-05-11,66.0
2019-05-12,69.0
2019-05-13,79.0
2019-05-14,84.0
2019-05-15,76.0
2019-05-16,84.0
2019-05-17,84.0
2019-05-18,69.0
2019-05-19,69.0
2019-05-20,78.0
2019-05-21,79.0
2019-05-22,84.0
2019-05-23,80.0
2019-05-24,73.0
2019-05-25,69.0
2019-05-26,78.0
2019-05-27,77.0
2019-05-28,79.0
2019-05-29,74.0
2019-05-30,71.0
2019-05-31,84.0
2019-06-01,71.0
2019-06-02,61.0
2019-06-03,76.0
2019-06-04,75.0
2019-06-05,80.0
2019-06-06,76.0
2019-06-07,69.0
2019-06-08,59.0
2019-06-09,65.0
2019-06-10,62.0
2019-06-11,70.0
2019-06-12,70.0
2019-06-13,75.0
2019-06-14,71.0
2019-06-15,64.0
2019-06-16,61.0
2019-06-17,76.0
2019-06-18,82.0
2019-06-19,75.0
2019-06-20,62.0
2019-06-21,73.0
2019-06-22,66.0
2019-06-23,59.0
2019-06-24,77.0
2019-06-25,97.0
2019-06-26,73.0
2019-06-27,80.0
2019-06-28,70.0
2019-06-29,65.0
2019-06-30,68.0
2019-07-01,82.0
2019-07-02,84.0
2019-07-03,77.0
2019-07-04,81.0
2019-07-05,70.0
2019-07-06,64.0
2019-07-07,49.0
2019-07-08,67.0
2019-07-09,69.0
2019-07-10,70.0
2019-07-11,62.0
2019-07-12,75.0
2019-07-13,61.0
2019-07-14,59.0
2019-07-15,73.0
2019-07-16,67.0
2019-07-17,68.0
2019-07-18,54.0
2019-07-19,66.0
2019-07-20,54.0
2019-07-21,55.0
2019-07-22,65.0
2019-07-23,63.0
2019-07-24,53.0
2019-07-25,56.0
2019-07-26,70.0
2019-07-27,50.0
2019-07-28,49.0
2019-07-29,65.0
2019-07-30,67.0
2019-07-31,53.0
2019-08-01,62.0
2019-08-02,55.0
2019-08-03,54.0
2019-08-04,53.0
2019-08-05,63.0
2019-08-06,62.0
2019-08-07,53.0
2019-08-08,64.0
2019-08-09,67.0
2019-08-10,55.0
2019-08-11,58.0
2019-08-12,64.0
2019-08-13,75.0
2019-08-14,65.0
2019-08-15,70.0
2019-08-16,67.0
2019-08-17,62.0
2019-08-18,61.0
2019-08-19,82.0
2019-08-20,67.0
2019-08-21,71.0
2019-08-22,62.0
2019-08-23,74.0
2019-08-24,53.0
2019-08-25,57.0
2019-08-26,63.0
2019-08-27,71.0
2019-08-28,72.0
2019-08-29,70.0
2019-08-30,71.0
2019-08-31,44.0
2019-09-01,53.0
2019-09-02,46.0
2019-09-03,66.0
2019-09-04,66.0
2019-09-05,60.0
2019-09-06,79.0
2019-09-07,61.0
2019-09-08,63.0
2019-09-09,66.0
2019-09-10,65.0
2019-09-11,65.0
2019-09-12,68.0
2019-09-13,63.0
2019-09-14,47.0
2019-09-15,55.0
2019-09-16,66.0
2019-09-17,66.0
2019-09-18,71.0
2019-09-19,75.0
2019-09-20,67.0
2019-09-21,60.0
2019-09-22,56.0
2019-09-23,67.0
2019-09-24,62.0
2019-09-25,75.0
2019-09-26,61.0
2019-09-27,68.0
2019-09-28,55.0
2019-09-29,54.0
2019-09-30,61.0
2019-10-01,77.0
2019-10-02,67.0
2019-10-03,68.0
2019-10-04,61.0
2019-10-05,56.0
2019-10-06,49.0
2019-10-07,58.0
2019-10-08,66.0
2019-10-09,72.0
2019-10-10,58.0
2019-10-11,69.0
2019-10-12,51.0
2019-10-13,52.0
2019-10-14,60.0
2019-10-15,57.0
2019-10-16,68.0
2019-10-17,59.0
2019-10-18,63.0
2019-10-19,45.0
2019-10-20,59.0
2019-10-21,74.0
2019-10-22,74.0
2019-10-23,67.0
2019-10-24,70.0
2019-10-25,70.0
2019-10-26,60.0
2019-10-27,56.0
2019-10-28,67.0
2019-10-29,62.0
2019-10-30,70.0
2019-10-31,70.0
2019-11-01,59.0
2019-11-02,47.0
2019-11-03,59.0
2019-11-04,65.0
2019-11-05,70.0
2019-11-06,60.0
2019-11-07,59.0
2019-11-08,61.0
